county,totalOut,totalIn,nonmigrants,totalOutToMetro,totalInFromMetro,prePop,postPop,totalOutToOutside,totalInFromOutside,preYear,postYear
douglas county,7676,9705,70161,2726,5031,77837,79866,4950,4674,2002,2003
fayette county,6516,8072,76341,2097,3457,82857,84413,4419,4615,2002,2003
forsyth county,6831,11392,90794,2253,5988,97625,102186,4578,5404,2002,2003
fulton county,69949,61870,493808,44266,31851,563757,555678,25683,30019,2002,2003
gwinnett county,41417,49392,477726,15914,23374,519143,527118,25503,26018,2002,2003
henry county,8608,15965,108986,3458,9335,117594,124951,5150,6630,2002,2003
rockdale county,6265,7020,50888,2134,3710,57153,57908,4131,3310,2002,2003
cherokee county,11125,15733,133859,4631,8739,144984,149592,6494,6994,2003,2004
clayton county,24867,24736,175109,16436,15398,199976,199845,8431,9338,2003,2004
cobb county,49339,49585,467543,21644,18882,516882,517128,27695,30703,2003,2004
dekalb county,60250,50611,444152,38813,27092,504402,494763,21437,23519,2003,2004
douglas county,7833,11194,72542,2888,6164,80375,83736,4945,5030,2003,2004
fayette county,6775,8426,77533,2293,3638,84308,85959,4482,4788,2003,2004
forsyth county,7423,12262,95810,2620,6413,103233,108072,4803,5849,2003,2004
fulton county,69421,63203,489564,44271,31939,558985,552767,25150,31264,2003,2004
gwinnett county,42531,52399,494942,16244,24137,537473,547341,26287,28262,2003,2004
henry county,9572,16163,115774,3847,9566,125346,131937,5725,6597,2003,2004
rockdale county,6538,7355,51345,2195,3914,57883,58700,4343,3441,2003,2004
cherokee county,10339,16021,128549,4198,8498,138888,144570,6141,7523,2004,2005
clayton county,24219,23285,171223,16053,14161,195442,194508,8166,9124,2004,2005
cobb county,48521,62116,475707,21455,18700,524228,537823,27066,43416,2004,2005
dekalb county,57316,49856,431227,36902,26410,488543,481083,20414,23446,2004,2005
douglas county,8306,12152,75813,3247,5956,84119,87965,5059,6196,2004,2005
fayette county,6525,8788,79682,2141,3604,86207,88470,4384,5184,2004,2005
forsyth county,7503,12712,96325,2289,6278,103828,109037,5214,6434,2004,2005
fulton county,67165,67179,504565,41971,33501,571730,571744,25194,33678,2004,2005
gwinnett county,44901,53579,512889,16980,22355,557790,566468,27921,31224,2004,2005
henry county,10907,17626,123938,4515,9211,134845,141564,6392,8415,2004,2005
rockdale county,6800,7360,52910,2333,3410,59710,60270,4467,3950,2004,2005
cherokee county,10588,17426,133393,4321,8370,143981,150819,6267,9056,2005,2006
clayton county,25473,25913,173724,17036,14225,199197,199637,8437,11688,2005,2006
