"","To","Sum","Year"
"1","outside",193699,2010
"2","fulton county",91718,2010
"3","dekalb county",71746,2010
"4","cobb county",63003,2010
"5","gwinnett county",61328,2010
"6","clayton county",28155,2010
"7","henry county",20411,2010
"8","douglas county",16169,2010
"9","cherokee county",15899,2010
"10","forsyth county",12028,2010
"11","rockdale county",9599,2010
"12","fayette county",8326,2010
