From,To,Est,SD,Year
outside,clayton county,13538,832.035958165251,2010
outside,cobb county,39545,1456.57880320935,2010
outside,fulton county,58140,1695.83169636477,2010
outside,dekalb county,36447,1460.82361823168,2010
outside,gwinnett county,41040,1584.17452486514,2010
outside,henry county,11963,922.477484658479,2010
outside,douglas county,9236,760.881231620605,2010
outside,forsyth county,6735,539.61434680162,2010
outside,fayette county,5074,460.095207340524,2010
outside,cherokee county,8358,605.726097474214,2010
outside,rockdale county,6112,599.210778190977,2010
clayton county,cobb county,1515,244.398646428531,2011
clayton county,fulton county,4727,628.019407364858,2011
clayton county,dekalb county,2576,432.257307489268,2011
clayton county,gwinnett county,574,218.256502656325,2011
clayton county,henry county,3903,645.042198658387,2011
clayton county,douglas county,692,255.949826234855,2011
clayton county,forsyth county,25,16.4148344616178,2011
clayton county,fayette county,1006,240.142948605149,2011
clayton county,cherokee county,186,71.130949333677,2011
clayton county,rockdale county,430,158.06877629706,2011
clayton county,outside,10132,958.124922357799,2011
cobb county,clayton county,935,257.165739898678,2011
cobb county,fulton county,6724,507.035997814416,2011
cobb county,dekalb county,3246,395.17194074265,2011
cobb county,gwinnett county,1894,266.285092377355,2011
cobb county,henry county,286,118.551582222795,2011
cobb county,douglas county,2896,406.723120548974,2011
cobb county,forsyth county,415,140.438028171619,2011
cobb county,fayette county,5,4.86365465529416,2011
cobb county,cherokee county,3867,513.115566133533,2011
cobb county,rockdale county,50,28.5739710998532,2011
cobb county,outside,30819,1439.57887565376,2011
fulton county,clayton county,7097,801.287104459712,2011
fulton county,cobb county,9708,746.570989587653,2011
fulton county,dekalb county,19036,1079.7313334753,2011
fulton county,gwinnett county,4741,584.24651546721,2011
fulton county,henry county,1016,240.142948605149,2011
fulton county,douglas county,970,185.42683373309,2011
fulton county,forsyth county,2052,297.290890804855,2011
fulton county,fayette county,918,190.290488388384,2011
fulton county,cherokee county,1389,271.148747032649,2011
fulton county,rockdale county,252,114.295884399413,2011
fulton county,outside,52455,1659.23571437037,2011
dekalb county,clayton county,2835,437.120962144562,2011
dekalb county,cobb county,3791,503.388256822945,2011
dekalb county,fulton county,12951,927.74212549736,2011
dekalb county,gwinnett county,9454,818.309895753242,2011
dekalb county,henry county,1180,269.324876536914,2011
dekalb county,douglas county,646,172.659740262943,2011
dekalb county,forsyth county,706,196.370056707502,2011
dekalb county,fayette county,303,96.0571794420596,2011
dekalb county,cherokee county,321,130.71071886103,2011
dekalb county,rockdale county,1976,341.063782702503,2011
dekalb county,outside,25564,1248.8414485075,2011
gwinnett county,clayton county,718,186.034790565001,2011
gwinnett county,cobb county,1799,252.302085243384,2011
gwinnett county,fulton county,4815,384.228717768238,2011
gwinnett county,dekalb county,6485,614.036400230887,2011
gwinnett county,henry county,879,228.591768798825,2011
gwinnett county,douglas county,450,187.250704228825,2011
gwinnett county,forsyth county,1287,212.784891169119,2011
gwinnett county,fayette county,361,161.716517288531,2011
gwinnett county,cherokee county,432,229.199725630737,2011
gwinnett county,rockdale county,452,161.108560456619,2011
gwinnett county,outside,32520,1543.11672058403,2011
henry county,clayton county,1970,393.348070246915,2011
henry county,cobb county,889,212.176934337208,2011
henry county,fulton county,1161,252.910042075296,2011
henry county,dekalb county,994,279.660142679414,2011
henry county,gwinnett county,156,65.0513810145593,2011
henry county,douglas county,214,127.670934701472,2011
henry county,forsyth county,224,131.318675692942,2011
henry county,fayette county,317,124.023193710001,2011
henry county,cherokee county,237,145.909639658825,2011
henry county,rockdale county,143,82.0741723080889,2011
henry county,outside,7696,868.797115243908,2011
