"","year","county","Sum"
"1",2010,"Cherokee",14967
"2",2010,"Clayton",26906
"3",2010,"Cobb",59122
"4",2010,"DeKalb",65388
"5",2010,"Douglas",15828
"6",2010,"Fayette",7955
"7",2010,"Forsyth",11545
"8",2010,"Fulton",84046
"9",2010,"Gwinnett",55939
"10",2010,"Henry",19952
"11",2010,"Rockdale",9315
